# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,0.0,0.0,0.0,0,3.0,0,0.0,0.0,0.0
 0.08908518769507458,0.011904255999999998,0.0,0.0,0.2672555630852237,2.9999999999999996,0,0.0,0.0,0.0
 0.12548053766753367,0.023618048000000003,0.0,0.0,0.376441613002601,3.0000000000000004,0,0.0,0.0,0.0
 0.15306406501854053,0.035142912,0.0,0.0,0.45919219505562153,2.999999999999999,0,0.0,0.0,0.0
 0.17603102756805877,0.046480384,0.0,0.0,0.5280930827041763,3.000000000000002,0,0.0,0.0,0.0
 0.19601360496999523,0.057632,0.0,0.0,0.5880408149099857,3.0000000000000013,0,0.0,0.0,0.0
 0.2138524351042092,0.068599296,0.0,0.0,0.6415573053126276,2.999999999999995,0,0.0,0.0,0.0
 0.23004899188361308,0.079383808,0.0,0.0,0.6901469756508392,2.9999999999999982,0,0.0,0.0,0.0
 0.24493138086683247,0.089987072,0.0,0.0,0.7347941426004974,3.0000000000000018,0,0.0,0.0,0.0
 0.25872845997299954,0.100410624,0.0,0.0,0.7761853799189985,2.999999999999996,0,0.0,0.0,0.0
 0.2716075600322397,0.110656,0.0,0.0,0.814822680096719,3.0000000000000044,0,0.0,0.0,0.0
 0.2836955363295894,0.12072473600000001,0.0,0.0,0.851086608988768,2.9999999999999907,0,0.0,0.0,0.0
 0.2950913621236651,0.13061836800000004,0.0,0.0,0.8852740863709951,3.0,0,0.0,0.0,0.0
 0.30587408302546115,0.14033843200000004,0.0,0.0,0.9176222490763833,3.0000000000000053,0,0.0,0.0,0.0
 0.31610806590995644,0.14988646400000005,0.0,0.0,0.9483241977298692,3.0,0,0.0,0.0,0.0
 0.3258465896706609,0.15926400000000007,0.0,0.0,0.9775397690119826,3.0000000000000058,0,0.0,0.0,0.0
 0.3351343770290758,0.16847257600000007,0.0,0.0,1.0054031310872273,3.0000000000000058,0,0.0,0.0,0.0
 0.3440094262274413,0.17751372800000007,0.0,0.0,1.0320282786823238,2.999999999999994,0,0.0,0.0,0.0
 0.3525043659304095,0.1863889920000001,0.0,0.0,1.0575130977912286,3.000000000000013,0,0.0,0.0,0.0
 0.36064747700027894,0.19509990400000007,0.0,0.0,1.0819424310008368,2.9999999999999862,0,0.0,0.0,0.0
 0.3684634762542054,0.20364800000000005,0.0,0.0,1.1053904287626162,3.000000000000007,0,0.0,0.0,0.0
 0.375974126769383,0.2120348160000001,0.0,0.0,1.127922380308149,3.0,0,0.0,0.0,0.0
 0.3831987195524885,0.22026188800000007,0.0,0.0,1.1495961586574657,3.0000000000000155,0,0.0,0.0,0.0
 0.39015445830252077,0.22833075200000008,0.0,0.0,1.1704633749075626,3.000000000000024,0,0.0,0.0,0.0
 0.3968567701325002,0.2362429440000001,0.0,0.0,1.1905703103975007,2.999999999999975,0,0.0,0.0,0.0
 0.4033195589934448,0.2440000000000001,0.0,0.0,1.2099586769803345,3.0000000000000084,0,0.0,0.0,0.0
 0.4095554142400433,0.2516034560000001,0.0,0.0,1.22866624272013,2.9999999999999822,0,0.0,0.0,0.0
 0.4155757837025639,0.2590548480000001,0.0,0.0,1.2467273511076917,3.0000000000000093,0,0.0,0.0,0.0
 0.42139111840031324,0.2663557120000001,0.0,0.0,1.2641733552009398,2.9999999999999907,0,0.0,0.0,0.0
 0.4270109943939775,0.2735075840000001,0.0,0.0,1.2810329831819325,2.9999999999999902,0,0.0,0.0,0.0
 0.43244421605566674,0.2805120000000001,0.0,0.0,1.2973326481670002,3.0,0,0.0,0.0,0.0
 0.43769890411864965,0.28737049600000014,0.0,0.0,1.313096712355949,3.0,0,0.0,0.0,0.0
 0.4427825711716006,0.29408460800000014,0.0,0.0,1.3283477135148016,2.9999999999999782,0,0.0,0.0,0.0
 0.4477021867268466,0.30065587200000016,0.0,0.0,1.3431065601805396,3.0,0,0.0,0.0,0.0
 0.4524642335772706,0.3070858240000002,0.0,0.0,1.3573927007318116,2.999999999999977,0,0.0,0.0,0.0
 0.45707475683232995,0.31337600000000015,0.0,0.0,1.3712242704969897,3.000000000000012,0,0.0,0.0,0.0
 0.46153940676826305,0.3195279360000001,0.0,0.0,1.384618220304789,3.0,0,0.0,0.0,0.0
 0.4658634764248716,0.32554316800000016,0.0,0.0,1.3975904292746144,2.9999999999999614,0,0.0,0.0,0.0
 0.470051934719275,0.3314232320000001,0.0,0.0,1.4101558041578246,3.0,0,0.0,0.0,0.0
 0.47410945571671553,0.33716966400000015,0.0,0.0,1.422328367150146,2.999999999999959,0,0.0,0.0,0.0
 0.47804044459299355,0.34278400000000014,0.0,0.0,1.43412133377898,2.999999999999958,0,0.0,0.0,0.0
 0.4818490607372122,0.34826777600000014,0.0,0.0,1.445547182211636,3.0000000000000147,0,0.0,0.0,0.0
 0.4855392383731723,0.35362252800000016,0.0,0.0,1.4566177151195163,3.0,0,0.0,0.0,0.0
 0.48911470501986226,0.3588497920000001,0.0,0.0,1.467344115059586,2.999999999999969,0,0.0,0.0,0.0
 0.4925789980635934,0.36395110400000014,0.0,0.0,1.4777369941907794,2.999999999999984,0,0.0,0.0,0.0
 0.495935479674524,0.36892800000000014,0.0,0.0,1.4878064390235712,3.0,0,0.0,0.0,0.0
 0.4991873502670785,0.37378201600000016,0.0,0.0,1.4975620508012346,2.999999999999966,0,0.0,0.0,0.0
